#Configuración Cuenta
"Webpay Account", "Webpay Account"
"Business Name", "Business Account"
"Business Account", "Business Account"
"Account Country", "Account Country"
"Website Payments Standard", "Website Payments Standard"
"Business logo image URL", "Business logo image URL"
"Debug Flag", "Debug Flag"
"Maximum image size is 150*50 px.", "Maximum image size is 150*50 px."
"No", "No"
"Yes", "Yes"

#Configuración Status
"Webpay Standard (Website Payments Standard)", "Webpay Standard (Website Payments Standard)"
"Enabled", "Enabled"
"Title", "Title"
"New order status", "New order status"
"Sort order", "Sort order"
"-- Please Select --", "-- Please Select --"
"Pending", "Pending"
"Processing", "Processing"
"Complete", "Complete"
"Closed", "Closed"
"Canceled", "Canceled"
"On Hold", "On Hold"
