" and "," and "
" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Magento install root, ex. var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\t for tab)","(\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - If indexing is in progress, it will be killed and new indexing process will start"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- or click and drag for faster selection.","- or click and drag for faster selection."
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"-- Please Select --","-- Please Select --"
"-- Please select --","-- Please select --"
"-- Please select a category --","-- Please select a category --"
"--Please Select--","--Please Select--"
"1 Hour","1 Hour"
"12 Hours","12 Hours"
"2 Hours","2 Hours"
"24 Hours","24 Hours"
"2YTD","2YTD"
"6 Hours","6 Hours"
"Log in to Admin Panel","<em>Ingresar</em> al Panel de Administración"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>"
"Total %d records found","<strong>%d</strong> archivos encontrados en total"
"Credit Card Number: xxxx-%s","<strong>Número de tarjeta de crédito:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Name on the Card: %s","<strong>Nombre que aparece en la tarjeta:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Type: %s","<strong>Tipo de tarjeta de crédito:</strong> <span class=""nowrap"">%s</span>"
"To","a"
"A new password was sent to your email address. Please check your email and click Back to Login.","A new password was sent to your email address. Please check your email and click Back to Login."
"Add","Añadir"
"Add New Template","Añadir nueva plantilla"
"Add new Role","Añadir nuevo rol"
"Add New Role","Añadir nuevo rol"
"About the calendar","About the calendar"
"Access Denied.","Access Denied."
"Access Deny","Access Deny"
"Action","Acción"
"Actions","Acciones"
"Account Created in:","Account Created in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Account Created on:"
"Actions XML","Actions XML"
"Active","Activo"
"Add after","Add after"
"Add Contents Path","Add Contents Path"
"Add Exception","Add Exception"
"Add Field Mapping","Add Field Mapping"
"Add Field with URL:","Add Field with URL:"
"Add Maintainer","Add Maintainer"
"Add New osCommerce Profile","Add New osCommerce Profile"
"Add New Profile","Add New Profile"
"Add New Urlrewrite","Add New Urlrewrite"
"Add Package dependency","Add Package dependency"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Add Subpackage dependency","Add Subpackage dependency"
"Add Urlrewrite","Add Urlrewrite"
"Add Urlrewrite for a Category","Add Urlrewrite for a Category"
"Add Urlrewrite for a Product","Add Urlrewrite for a Product"
"Address Type:","Address Type:"
"Admin","Admin"
"Magento Admin","Admin Magento"
"Advanced Admin Section","Advanced Admin Section"
"Advanced Profiles","Advanced Profiles"
"Advanced Section","Advanced Section"
"Aggregate Order","Aggregate Order"
"Current Configuration Scope:","Alcanze de la configuración actual:"
"All Allowed Countries","All Allowed Countries"
"All Cache","All Cache"
"All fields","All fields"
"All Files","All Files"
"All possible rates were fetched, click on ""Save"" to apply","All possible rates were fetched, click on ""Save"" to apply"
"All rates were fetched, click on ""Save"" to apply","All rates were fetched, click on ""Save"" to apply"
"All Store Views","All Store Views"
"All valid rates successfully saved","All valid rates successfully saved"
"All Websites","All Websites"
"Amounts","Amounts"
"Any Attribute Set","Any Attribute Set"
"Any Group","Any Group"
"Any Status","Any Status"
"Any Store","Any Store"
"Any Type","Any Type"
"Any Visibility","Any Visibility"
"Last Name","Apellido"
"Api Key","Api Key"
"Api Key Confirmation","Api Key Confirmation"
"API Stability","API Stability"
"API Version","API Version"
"API:","API:"
"Archive file name:","Archive file name:"
"Are you sure you wish to INSTALL all selected packages?","Are you sure you wish to INSTALL all selected packages?"
"Are you sure you wish to UNINSTALL all selected packages?","Are you sure you wish to UNINSTALL all selected packages?"
"Are you sure you wish to UPGRADE all selected packages?","Are you sure you wish to UPGRADE all selected packages?"
"Area","Area"
"Assigned","Assigned"
"Subject","Asunto"
"Back","Atrás"
"Attribute set was successfully removed.","Atributo correctamente eliminado"
"Attribute Set Name:","Attribute Set Name:"
"Available Products","Available Products"
"Available Version","Available Version"
"Average Order Amount","Average Order Amount"
"Average Orders","Average Orders"
"Help Us Keep Magento Healthy - Report All Bugs","Ayúdanos a mantener a Magento saludable - <a href=""http://www.magentocommerce.com/bug-tracking"" target=""varien_external""><strong>Reporta todos los bugs</strong</a>>"
"Are you sure that you want to strip tags?","¿Está seguro de que quiere deshacer el etiquetado?"
"Are you sure that you want to delete this template?","¿Está seguro que quiere borrar esta plantilla?"
"What is this?","¿Qué es esto?"
"b","b"
"Back to local packages","Back to local packages"
"Back to Login","Back to Login"
"Backup record was deleted","Backup record was deleted"
"Backup successfully created","Backup successfully created"
"Base currency","Base currency"
"Global Record Search","Búsqueda de archivos global"
"No search modules registered","Búsqueda en módulos no permitida registrada"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Big Image","Big Imagen grande"
"Billing address","Billing address"
"Delete","Borrar"
"Delete Template","Borrar plantilla"
"Delete Role","Borrar rol"
"Delete User","Borrar usuario"
"Delete Website","Borrar Website"
"Both (without and with tax)","Both (without and with tax)"
"Browse Available Extensions","Browse Available Extensions"
"Browse Available Remote Extensions","Browse Available Remote Extensions"
"Browse Files...","Browse Files..."
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"Search","Buscar"
"Cache Control","Cache Control"
"Cache Control (beta)","Cache Control (beta)"
"Cache Management","Cache Management"
"Toggle Editor","Cambiar a editor"
"Can not add new comment.","Can not add new comment."
"Can not add tracking number.","Can not add tracking number."
"Can not delete tracking number.","Can not delete tracking number."
"Can not do credit memo for order","Can not do credit memo for order"
"Can not do invoice for order","Can not do invoice for order"
"Can not do shipment for order.","Can not do shipment for order."
"Can not initialize shipment for adding tracking number.","Can not initialize shipment for adding tracking number."
"Can not initialize shipment for delete tracking number.","Can not initialize shipment for delete tracking number."
"Can not load track with retrieving identifier.","Can not load track with retrieving identifier."
"Can not retrieve tracking number detail.","Can not retrieve tracking number detail."
"Can not save credit memo","Can not save credit memo"
"Can not save invoice","Can not save invoice"
"Can not save shipment.","Can not save shipment."
"Can not send shipment information.","Can not send shipment information."
"Can not update item qty","Can not update item qty"
"Can't delete design change","Can't delete design change"
"Cancel","Cancelar"
"Qty","Cant."
"Can't find email address.","Can't find email address."
"Attributes","Características"
"Global Attribute","Características globales"
"Loading...","Cargando..."
"Catalog Rewrites","Catalog Rewrites"
"Catalog Rewrites was refreshed successfully","Catalog Rewrites was refreshed successfully"
"Catalog Rewrites were refreshed successfully","Catalog Rewrites were refreshed successfully"
"CatalogInventory Stock Status was rebuilded successfully","CatalogInventory Stock Status was rebuilded successfully"
"Catalog","Catálogo"
"Category","Category"
"Category:","Category:"
"Coupon Code","Código de cupón"
"Changelog","Changelog"
"Channel","Channel"
"Channel:","Channel:"
"Checkbox","Checkbox"
"Choose an attribute","Choose an attribute"
"Choose Store View","Choose Store View"
"Clear","Clear"
"Customer","Cliente"
"Customers","Clientes"
"Close","Close"
"close","close"
"Comment text field can not be empty.","Comment text field can not be empty."
"Comments History","Comments History"
"Complete","Complete"
"Connect with the Magento Community","Conectar con la comunidad Magento"
"Configuration","Configuración"
"Wrong tab configuration","Configuración de pestaña equivocada"
"Configuration successfully saved","Configuración grabada con éxito"
"Password Confirmation","Confirmar contraseña"
"Confirmed email:","Confirmed email:"
"Conflicts","Conflicts"
"Contents","Contents"
"Password","Contraseña"
"Password:","Contraseña:"
"Convert to Plain Text","Convertir a texto plano"
"Cookie (Unsafe)","Cookie (Unsafe)"
"Backups","Copias de seguridad"
"Fixed","corregido"
"Email","Correo"
"Country:","Country:"
"Add New Image","Crear imagen"
"Add New User","Crear usuario"
"Create","Create"
"Create DB Backup","Create DB Backup"
"Create Extension Package","Create Extension Package"
"Create New Attribute","Create New Attribute"
"Create Urlrewrite:","Create Urlrewrite:"
"Created At","Created At"
"Credit Memo #%s comment added","Credit Memo #%s comment added"
"Credit Memo #%s created","Credit Memo #%s created"
"Credit Memo cancel error.","Credit Memo cancel error."
"Credit Memo History","Credit Memo History"
"Credit Memo total must be positive.","Credit Memo total must be positive."
"Credit Memo Totals","Credit Memo Totals"
"Credit Memo void error","Credit Memo void error"
"Credit Memo was successfully canceled.","Credit Memo was successfully canceled."
"Credit Memo was successfully created","Credit Memo was successfully created"
"Credit Memo was successfully voided","Credit Memo was successfully voided"
"CRITICAL","CRITICAL"
"critical","critical"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separated"
"Grid (default) / List","Cuadrícula (defecto) / Lista"
"Any","Cualquiera"
"Account successfully saved","Cuenta guardada correctamente"
"Coupons","Cupones"
"Currency Setup Section","Currency Setup Section"
"Current Release Information","Current Release Information"
"Custom","Custom"
"Customer Group:","Customer Group:"
"Customer Name","Customer Name"
"Customer Since:","Customer Since:"
"Data Format","Data Format"
"Data transfer:","Data transfer:"
"Date selection:","Date selection:"
"Date selector","Date selector"
"Date:","Date:"
"From","De"
"Decimal separator:","Decimal separator:"
"Default (Admin) Values","Default (Admin) Values"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies","Default display currency ""%s"" is not available in allowed currencies"
"Default scope","Default scope"
"Default Template from Locale","Default Template from Locale"
"Default Values","Default Values"
"Delete %s","Delete %s"
"Delete %s '%s'","Delete %s '%s'"
"Delete Profile","Delete Profile"
"Delete Store View","Delete Store View"
"Dependencies","Dependencies"
