" and "," y "
"(Starting with)","(Comenzar con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando 'No', sólo los campos mapeados serán importados. Cuando mapee, use 'columna1', 'columna2', etc.)"
"(Leave empty for first spreadsheet)","(Dejar en blanco para la primera hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los Productos serán añadidos/actualizados a esta tienda si la columna 'tienda' está en blanco o perdido en el archivo de importación.)"
"(Shift-)Click or drag to change value","(Mayúsculas-)Click o arrastrar para cambiar el valor"
"(For US 2-letter state names)","(Para USA nombres de estado de 2-letras)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta Absoluta o Relativa para ruta de instalación Magento, ej. var/export)"
"(If left empty will be auto-generated)","(Si se deja vacío será auto-generada)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\t for tab)","(t para tab)"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes del tiempo para incrementarlo"
"- or click and drag for faster selection.","- o clic y arastrar para selección rápida."
"- or Shift-click to decrease it","- o Mayúsculas-clic para decrecerlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Presione el botón del ratón en cualquiera de los botones de arriba para una selección rápida."
"- Use the %s buttons to select month","- Use el %s botón para elegir el mes"
"- Use the %s, %s buttons to select year","- Use el %s, %s botón para elegir el año"
"Field Mapping",";Mapeo de Campos"
"To","A"
"to","a"
"Add Field with URL:","Añadir campo con URL:"
"Add PHP Extension dependency","Añadir dependencia de Extensión PHP"
"Add Package dependency","Añadir dependencia de paquete"
"Add Subpackage dependency","Añadir dependencia de subpaquete"
"Add Maintainer","Añadir Maintainer"
"Add New Template","Añadir Nueva Plantilla"
"Add New Role","Añadir Nuevo Rol"
"Add New User","Añadir Nuevo Usuario"
"Prev. year (hold for menu)","Año anterior (mantener presionado para menú)"
"Resource Access","Acceso a Recurso"
"Access Denied.","Acceso Denegado."
"Action","Acción"
"Actions","Acciones"
"About the calendar","Acerca del calendario"
"Upload Local File","Actualizar archivo local"
"Upload local file:","Actualizar archivo local:"
"Upgrade All Available Packages","Actualizar todos los paquetes disponobles"
"Invalid webservice adapter specified","Adaptador de servicio web especificado incorrecto"
"Enclose Values In:","Adjuntar valores en:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algunos artículos de este pedido tienen diferentes tipos de envío y factura. Sólo puede crear un Despacho después de crear la factura"
"Last Name:","Apellido:"
"API:","API:"
"Provided Files","Archivos Proporcionados"
"Drag to move","Arrastrar para mover"
"Please make sure that your changes were saved before running the profile.","Asegúrese que grabó los cambios antes de correr el perfil."
"Last Logged In (%s):","Último ingreso en (%s):"
"Last Logged In:","Último ingreso en:"
"Latest Message:","Último Mensaje:"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 términos buscados"
"Attributes","Atributos"
"Help Us Keep Magento Healthy - Report All Bugs","Ayúdenos a Mantener Magento Saludable - Reporte todos las fallas"
"Warning! Empty value can cause problems with CSV format.","¡Cuidado! Valores vacíos pueden causar problemas con el formato CSV."
"Are you sure that you want to strip tags?","¿Está seguro que desea franja de etiquetas?"
"Are you sure that you want to delete this template?","¿Está seguro que quiere borrar esta plantilla?"
"What is this?","¿Qué es ésto?"
"Global Record Search","Búsqueda Global"
"Delete","Borrar"
"Invalid webservice handler specified","Cabecera de servicio web especificado incorrecto"
"Channel","Canal"
"Channel:","Canal:"
"Qty","Cant"
"Stock Quantity:","Cantidad en Existencia:"
"Loading...","Cargando..."
"Catalog","Catálogo"
"Zip/Postal Code:","Código CP/Postal:"
"Close","Cerrar"
"Customer Since:","Cliente Desde:"
"Customers","Clientes"
"Shipment Comments","Comentarios de Despacho"
"Top 5 Search Terms","Condiciones de Búsqueda Top 5"
"Connect with the Magento Community","Conectarse a la Comunidad Magento"
"Web Services Configuration","Configuración de Servicios Web"
"General Settings","Configuraciones Generales"
"Contents","Contenidos"
"Password","Contraseña"
"Magento Core Api","Core Api Magento"
"Confirmed email:","Correo Confirmado:"
"Order confirmation email sent","Correo de confirmación de pedido envíado"
"Order confirmation email not sent","Correo de confirmación de pedido no envíado"
"PayPal Email","Correo de PayPal"
"Email","Correo Electrónico"
"Email:","Correo Electrónico:"
"critical","crítico"
"CSV / Tab separated","CSV / Separado por Tab"
"Account Created on (%s):","Cuenta creada el (%s):"
"Account Created on:","Cuenta Creada el:"
"Account Created in:","Cuenta creada el:"
"From","De"
"of %s pages","de %s páginas"
"Leave empty to use tax identifier","Dejar en blanco para usar identificador de impuesto"
"Dependencies","Dependencias"
"Download Remote File","Descargar Archivo Remoto"
"Description:","Descripción:"
"Unselect All","Deseleccionar todos"
"Unselect Visible","Deseleccionar Visibles"
"Shipping Address","Dirección de Despacho"
"Shipping address selection is not applicable","Dirección de despacho no es aplicable"
"Billing Address","Dirección de Facturación"
"Primary Billing Address","Dirección de Facturación Primaria"
"Direction:","Dirección:"
"Distributed under GNU LGPL. See %s for details.","Distribuído bajo GNU LGPL. Vea %s para detalles."
"Choose Store View","Ecoger Vista de Tienda"
"Edit Role","Editar Rol"
"Edit User '%s'","Editar Usuario '%s'"
"Google Base Items","Elementos Base de Google"
"Issuer: %s","Emisor: %s"
"In File:","En archivo:"
"In Database:","En base de datos:"
"This tab contains invalid data. Please solve the problem before saving.","Esta pestaña contiene datos incorrectos. Por favor arregle el problema antes de grabar."
"Status","Estado"
"State/Province:","Estado/Provincia:"
"Status:","Estado:"
"This is a required field.","Este es un campo obligatorio."
"Exclude","Excluir"
"Export","Exportar"
"Export to:","Exportar a:"
"Export:","Exportar:"
"Extension","Extensión"
"Extensions","Extensiones"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Fecha de incio de la Tarjeta Switch/Solo/Maestro(UK Domestic): %s/%s"
"Start Date","Fecha de Inicio"
"Switch/Solo card start Date: %s/%s","Fecha de Inicios de la Tarjeta Switch/Solo: %s/%s"
"Expiration Date","Fecha de Vencimiento"
"Expiration Date: %s/%s","Fecha de Vencimiento: %s/%s"
"Date:","Fecha:"
"Export Filters","Filtros de Exportación"
"Data Format","Formato de Datos"
"Remote FTP","FTP Remoto"
"Manage Stores","Gestión de Tiendas"
"Customer Group:","Grupo de Clientes:"
"Group:","Grupo:"
"Done by:","Hecho por:"
"Done By:","Hecho por:"
"Comments History","Historial de Comentarios"
"Shipment History","Historial de Despacho"
"Invoice History","Historial de Facturación"
"Credit Memo History","Historial de Notas de Crédito"
"FTP Host[:Port]","Host FTP[:Puerto]"
"Ignore","Ignorar"
"Big Image","Imagen Grande"
"images/logo.gif","images/logo.gif"
"Images","Imágenes"
"Import","Importar"
"Inactive","Inactivo"
"Incl. Tax","Incl. Impuestos"
"Include","Incluído"
"File Information","Información de Archivo"
"Current Release Information","Información de la Versión Actual"
"Package Information","Información del Paquete"
"Profile Information","Información del Perfil"
"Personal Information","Información Personal"
"Logged in as %s","Ingresó como %s"
"Installed As","Instalado como"
"Interactive","Interactivo"
"Interface Locale: %s","Interfáz Local: %s"
"Go Today","Ir a Hoy"
"items selected","items seleccionadoas"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","La configuración de su servidor sólo le permite cargar archivos de no más de %s en este momento. Modifique los valores post_max_size (actualmente es %s) y upload_max_filesize (actualmente es %s) en php.ini si quiere subir archivos grandes."
"The information in this tab has been changed.","La información de esta pestaña hga sido cambiada."
"Read details","Leer Detalles"
"License:","Licencia:"
"Magento Logo","Logo Magento"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; es una marca registrada de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Mantenedores"
"Max","Max"
"major","mayor"
"md5sum","md5sum"
"minor","menor"
"Prev. month (hold for menu)","Mes Anterior (mantener presionado para menú)"
"Min","Min"
"Thumbnail","Miniatura"
"Passive mode","Modo pasivo"
"Display %s first","Mostrar los %s primeros"
"Show by","Mostrar por"
"Show Report for","Mostrgar Reporte para"
"N/A","N/A"
"Issue Number","Número de la publicación"
"Number of records:","Número de registros:"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Número de Tarjeta Switch/Solo/Maestro(UK Domestic): %s"
"Switch/Solo card issue number: %s","Número de Tarjeta Switch/Solo: %s"
"Card Verification Number","Número de Verificación de la Tarjeta"
"Level","Nivel"
"No","No"
"No Data Found","No se encontraron datos"
"Unable to login.","No se puede ingresar."
"Name","Nombre"
"File name:","Nombre de Archivo:"
"Archive file name:","Nombre de Archivo:"
"Attribute Set Name:","Nombre de Conjunto de Atributos:"
"Spreadsheet Name:","Nombre de la Hoja de Cálculo:"
"User Name","Nombre de usuario"
"User name","Nombre del Usuario"
"Name on Card","Nombre en la Tarjeta"
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"Name:","Nombre:"
"First Name:","Nombre:"
"Original Magento attribute names in first row:","Nombres de atributo originales de Magento en la primera fila:"
"Note:","Nota:"
"Notes:","Notas:"
"notice","noticia"
"Get help for this page","Obtener ayuda para ésta página"
"Sort Order","Ordenar Pedidos"
"Country:","País:"
"Dashboard","Panel"
"Package","Paquete"
