"Action","Action"
"All types","All types"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Backups"
"Create Backup","Create Backup"
"Database was successfuly backed up.","Database was successfuly backed up."
"DB","DB"
"Download","Download"
"Backup file doesn't exist","El archivo Backup no existe"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"Wrong order of creation for new backup","Falló la creación del nuevo archivo de Respaldo"
"File compressed with Zlib, but this extension is not installed on server","File compressed with Zlib, but this extension is not installed on server"
"Cannot read backup file","No se puede leer el archivo Backup"
"Size, byte","Size, byte"
"Time","Time"
"Type","Type"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
