"--Select--","--Elegir--"
"To","A"
"To:","A:"
"Add New Option","Añadir nueva opción"
"Add Selection","Añadir selección"
"Radio Buttons","Botones Radio"
"Default Qty","Cant por Defecto"
"User Defined Qty","Cant. Definida por el Usuario"
"Qty:","Cant:"
"Close","Cerrar"
"Checkbox","Checkbox"
"Ship Bundle Items","Comprar Paquete de Artículos"
"Buy %1$s with %2$s discount each","Compre %1$s con el %2$s de descuento c/u"
"From","De"
"From:","De:"
"Default","Defecto"
"Shipment","Despacho"
"Drop-down","Drop-down"
"Dynamic","Dynamic"
"Is Required","Es obligatorio"
"Choose a selection...","Escoja una selección..."
"This product is also part of bundle(s)","Este producto es parte de un paquete"
"Fixed","Fijo"
"Incl. Tax","Incluido Impuesto"
"Together","Juntos"
"Gift Message","Mensaje del Regalo"
"Message:","Mensaje:"
"N/A","N/A"
"None","Ninguno"
"No options of this product are available.","No hay opciones disponibles para este producto"
"There is no defined renderer for ""%s"" option type","No se ha definido el renderizador para el tipo de opción ""%s"" "
"Required options not selected.","Opción requerida no seleccionada."
"Selected required options not available.","Opciones seleccionadas no disponibles."
"Bundle Items","Paquete de Artículos"
"Bundle Product","Paquete de Productos"
"Please select options for product.","Por favor elija opciones para el producto."
"Please select products to add","Por favor elija productos para añadir"
"Please specify product option(s)","Por favor especifique opciones del producto"
"Please enter search conditions to view products.","Por favor ingrese condiciones de búsqueda para ver productos."
"Percent","Porcentaje"
"Percent Discount","Porcentaje de Descuento"
"Position","Posición"
"Price as configured","Precio configurado"
"Price Range","Rango de Precios"
"Multiple Select","Selección Múltiple"
"Separately","Separadamente"
"Excl. Tax","Sin Impuesto"
"As low as","Tan bajo como"
"Store View Title","Título de Vista de Tienda"
"Default Title","Título por Defecto"
"Input Type","Tipo de ingreso"
"Price Type","Tipo de Precios"
