"* Required Fields","* Campos obligatorios"
"Additional Address Entries","Añadir información de dirección"
"Add New Address","Añadir nueva dirección"
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"Account Dashboard","Account Dashboard"
"Account Sharing Options","Account Sharing Options"
"Action","Action"
"Update","Actualizar"
"You are currently subscribed to 'General Subscription'.","Actualmente está suscrito a 'Suscripción general'."
"You are currently subscribed to our newsletter.","Actualmente está suscrito a nuestro Boletín."
"You are currently not subscribed to our newsletter","Actualmente no está suscrito a nuestro Boletín"
"You are currently subscribed to our newsletter","Actualmente no está suscrito a nuestro Boletín"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Admin","Admin"
"You're now Logged Out","Ahora está desconectado"
"To Cart","Al carro"
"All","All"
"All countries","All countries"
"All Store Views","All Store Views"
"Always optional","Always optional"
"Amount","Amount"
"Last Name","Apellido"
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Last 5 Orders","Últimos 5 pedidos"
"Last Viewed Items","Últimos artículos revisados"
"Assign a customer group","Assign a customer group"
"Back","Atrás"
"Average Sale","Average Sale"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Are you sure you want to delete this address?","¿Seguro que quiere eliminar esta dirección?"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Newsletter","Boletín"
"Newsletters","Boletines"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Street Address","Calle"
"Change Password","Cambiar contraseña"
"Change Account Password","Cambiar contraseña de la cuenta"
"Change Shipping Address","Cambiar dirección de envío"
"Change Billing Address","Cambiar dirección de facturación"
"Cancel","Cancel"
"Qty","Cant."
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
