" Copy"," Copy"
"Action","Action"
"Add New Template","Add New Template"
"Add to Queue","Add to Queue"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Back"
"Newsletter","Boletín"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Invalid subscription confirmation code","Código de confirmación no válido"
"Duplicate of template code","Código de plantilla duplicado"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Convert to Plain Text","Convert to Plain Text"
"Create Newsletter Template","Create Newsletter Template"
"Customer","Customer"
"Customer Firstname","Customer Firstname"
"Customer Lastname","Customer Lastname"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Delete Selected Problems","Delete Selected Problems"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Edit Newsletter","Edit Newsletter"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Form was filled incorrectly","El formulario no se rellenó correctamente"
"Email","Email"
"Enter your email address","Enter your email address"
"Error Code","Error Code"
"Error Text","Error Text"
"Thank you for your subscription","Gracias por su subscripción"
"Guest","Guest"
"ID","ID"
"Invalid subscription ID","Identificador de suscripción no válido"
"Invalid subscriber ID","Indentificador de suscriptor no válido"
"The subscription was successfully saved","La suscripción se guardó correctamente"
"Confirmation request has been sent","Mensaje de confirmación enviado"
"Message","Message"
"Need to Confirm","Need to Confirm"
"New Newsletter Template","New Newsletter Template"
"New Template","New Template"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Newsletter subscription success","Newsletter subscription success"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Templates","Newsletter Templates"
"Newsletter unsubscription success","Newsletter unsubscription success"
"No problems found","No problems found"
"Cannot delete template","No se borró la plantilla"
"Cannot save your subscription: %s","No se guardó su suscripción: %s"
"Cannot delete subscriber","No se puede borrar el suscriptor"
"Cannot mark as received subscriber","No se puede marcar como suscriptor recibido"
"No subscribers selected","No se seleccionó ningún suscriptor"
"No Templates Found","No Templates Found"
"Not activated","Not activated"
"Not Sent","Not Sent"
"Pause","Pause"
"Paused","Paused"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Please enter new template name"
"Please select subscriber(s)","Please select subscriber(s)"
"Preview","Preview"
"Preview Template","Preview Template"
"Processed","Processed"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Information","Queue Information"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Queue Start"
"Queue Subject","Queue Subject"
"Recipients","Recipients"
"Reset","Reset"
"Resume","Resume"
"Return Html Version","Return Html Version"
"Save And Resume","Save And Resume"
"Save As","Save As"
"Save Newsletter","Save Newsletter"
"Save Template","Save Template"
"There was an error while saving your subscription","Se produjo un error al guardar su suscripción"
"There was a problem with the subscription: %s","Se produjo un error con la suscripción: %s"
"Invalid queue selected","Selección de cola no válida"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Selected problems successfully deleted","Selected problems successfully deleted"
"Sender","Sender"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Sending","Sending"
"Sending Options","Sending Options"
"Sent","Sent"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Start","Start"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Your subscription was successfully confirmed","Su suscripción fue confirmada correctamente"
"Subject","Subject"
"Subscribe","Subscribe"
"Subscribed","Subscribed"
"Subscriber","Subscriber"
"Subscribers","Subscribers"
"Subscribers From","Subscribers From"
"Subscription Options","Subscription Options"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Template Type","Template Type"
"There was a problem with the subscription","There was a problem with the subscription"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"Toggle Editor","Toggle Editor"
"Type","Type"
"Unsubscribe","Unsubscribe"
"Unsubscribe Selected","Unsubscribe Selected"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"View Newsletter","View Newsletter"
"Website","Website"
"You have been successfully unsubscribed.","You have been successfully unsubscribed."
