"--Please Select--","--Please Select--"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Make Check payable to</label>: %s"
"Year","Año"
"What is this?","¿Qué es esto?"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Check / Money order","Check / Money order"
"Credit Card Number: %s","Credit Card Number: %s"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Enabled","Enabled"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Expiration Date","Fecha de Expiración"
"Make Check payable to","Make Check payable to"
"Make Check payable to: %s","Make Check payable to: %s"
"Maximum Order Total","Maximum Order Total"
"Month","Mes"
"Minimum Order Total","Minimum Order Total"
"Name on the Card: %s","Name on the Card: %s"
"Purchase Order Number","Número de la Orden de Compra"
"Credit Card Number","Número de la Tarjeta de Crédito"
"Card Verification Number","Número de Verificación de la Tarjeta"
"New order status","New order status"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Payment Methods","Payment Methods"
"Payment Methods Section","Payment Methods Section"
"Purchase order","Purchase order"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Saved CC","Saved CC"
"Send Check to","Send Check to"
"Send Check to:","Send Check to:"
"Sort order","Sort order"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Title","Title"
"Name on Card","Titular de la Tarjeta"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
