"%d Review(s)","%d Revisiones(s)"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(Posteado on %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Product Review (submitted on %s):","<strong>Revisi&oacute;n de producto</strong> (enviada en %s):"
"Your Review (submitted on %s):","<strong>Tu revisi&oacute;n</strong> (enviada en %s):"
"Add Your Review","A&ntilde;ada su revisi&oacute;n"
"Add New Review","Add New Review"
"Administrator","Administrator"
"All Reviews","All Reviews"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Nickname","Apodo"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Back","Atr&aacute;s"
"How do you rate this product?","C&oacute;mo clasificar&iacute;as a este producto?"
"Qty","Cantidad"
"Average Customer Rating","Clasificaci&oacute;n de Cliente Media"
"Product Rating:","Clasificaci&oacute;n del Producto:"
"Average Customer Rating:","Clasificaci&oacute;n media de Cliente:"
"Rating:","Clasificaci&oacute;n:"
"Created On","Created On"
"Customer","Customer"
"Delete","Delete"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"Review Details","Detalles de revisi&oacute;n"
"Edit Review '%s'","Edit Review '%s'"
"Submit Review","Enviar revisi&oacute;n"
"Write Your Own Review","Escribe tu propia revisi&oacute;n"
"You're reviewing: %s","Est&aacute;s revisando: <span class=""normal-weight"">%s</span>"
"Guest","Guest"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Mis revisiones de Producto"
"My Recent Reviews","Mis revisiones recientes"
"Name","Name"
"Name In Store","Name In Store"
"New Review","New Review"
"You have submitted no reviews.","No ha enviado revisiones."
"Pending reviews","Pending reviews"
"Pending Reviews","Pending Reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Please select a product"
"Review by %s","por <em>%s</em>"
"Please select one of each of the ratings above","Por favor, seleccione una de las clasificaciones de arriba"
"Posted By","Posted By"
"Price","Price"
"Product","Product"
"Product Name","Product Name"
"Product Rating","Product Rating"
"Product SKU","Product SKU"
"Summary of Your Review","Resumen de tu revisi&oacute;n"
"Reviews and Ratings","Reviews and Ratings"
"Review","Revisi&oacute;n"
"Customer Reviews","Revisiones de Clientes"
"Product Reviews","Revisiones de productos"
"Save Review","Save Review"
"Be the first to review this product","Sea el primero en revisar el producto"
"SKU","SKU"
"Status","Status"
"Summary of Review","Summary of Review"
"Summary of review","Summary of review"
"Summary Rating","Summary Rating"
"Title","Title"
"Your Rating:","Tu clasificaci&oacute;n:"
"Your review has been accepted for moderation","Tu revisi&oacute;n ha sido aceptada para moderaci&oacute;n"
"Type","Type"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View Details","Ver detalles"
"View All Reviews","Ver todas las Revisiones"
"Visible In","Visible In"
"Back to My Reviews","Vuelta a mis Revisiones"
"Back to Product Reviews","Vuelta a Revisiones de Productos"
"Back to Main Product Info","Vuelta al producto principal"
"Websites","Websites"
