"%s - Discounts and Coupons","%s - Descuentos y Cupones"
"%s has reached a quantity of %s.","%s ha llegado a una cantidad de %s."
"To:","A:"
"Enable RSS","Activar RSS"
"Miscellaneous Feeds","Canales Misceláneas"
"RSS Feeds","Canales RSS"
"%s RSS Feed","Canales RSS %s"
"Catalog","Catálogo"
"Top Level Category","Categoría de Primer Nivel"
"Category Feeds","Categorías de Canales"
"click <a href=""%s"">here</a> to view the review","clic <a href=""%s"">acá</a> para ver la revisión"
"Comment: %s<br/>","Comentario: %s<br/>"
"Purchased From: %s","Comprado de: %s"
"Rss Config","Configuración Rss"
"Coupons/Discounts","Cupones/Descuentos"
"From:","De:"
"Discount ","Descuento "
"%s - Special Discounts","Descuentos Especiales - %s"
"Details for %s #%s","Detalles para %s #%s"
"Error in processing xml. %s","Error en el procesamiento xml. %s"
"Current Status: %s<br/>","Estado Actual: %s<br/>"
"Customer Order Status Notification","Estado de Notificación del Pedidod del Cliente"
"Tags Products","Etiquetas de Productos"
"Notified Date: %s<br/>","Fecha de Notificación: %s<br/>"
"Shipping & Handling","Gastos de Envío y Manipulación"
"Tax","Impuesto"
"Wishlist","Listado"
"%s's Wishlist","Listados %s"
"Message:","Mensaje:"
"Gift Message","Mensje del Regalo"
"There are no Rss Feeds","No hay canales Rss"
"There are no Rss Feeds.","No hay canales Rss."
"Cannot retrieve the wishlist","No se puede recuperar Listados"
"Customer Name: %s","Nombre del Cliente: %s"
"Order # %s Notification(s)","Notificación(es) del Pedido # %s"
"New Orders","Nuevos Pedidos"
"New Products","Nuevos Productos"
"New Products from %s","Nuevos Productos de %s"
"Get Feed","Obtener Canales"
"Order #%s created at %s","Pedido # %s creado el %s"
"Product: ""%s"" review By: %s","Producto: ""%s"" revisado por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Producto: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Productos con Baja Existencia"
"Special/Discount Products","Productos Descuento/Especial"
"Special Products","Productos Especiales"
"Products tagged with %s","Productos etiquetados con %s"
"Total Products: %s","Productos Totales: %s"
"RSS testing","Pruebas RSS"
"Summary of review: %s <br/>","Resumen de Revisiones: %s <br/>"
"Review: %s <br/>","Revisión: %s <br/>"
"Pending product review(s)","Revisiones de Productos Pendientes"
"RSS","RSS"
"Rss Feeds Section","Sección Canales Rss"
"Subtotal","Subtotal"
"Store: %s <br/>","Tienda: %s <br/>"
"Grand Total","Total"
"Total: %s<br/>","Total: %s<br/>"
