"to","a"
"Add","Add"
"ALL","ALL"
"ANY","ANY"
"Apply","Apply"
"Start at: %s","Comienza el: %s"
"contains","contiene"
"Description: %s","Descripción: %s"
"Perform following actions","Ejecute las siguientes acciones"
"is","es"
"is one of","es uno de"
"Expire at: %s","Expira el: %s"
"FALSE","FALSE"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"greater than","mayor que"
"less than","menor que"
"does not contain","no contiene"
"is not","no es"
"is not one of","no es uno de"
"Name: %s","Nombre: %s"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Open Chooser","Open Chooser"
"by","por"
"Please choose a condition to add...","Por favor"
"Please choose an action to add...","Por favor escoja una acción a añadir..."
"Remove","Remove"
"If %s of these conditions are %s:","Si %s de éstas condiciones son %s:"
"TRUE","TRUE"
