"To Percentage","A Porcentage"
"To Fixed Value","A valor fijo"
"Actions","Actions"
"Active","Active"
"Update the Product","Actualizar el Producto"
"Update product's %s %s: %s","Actualizar Producto's %s %s: %s"
"Add New Rule","Add New Rule"
"Apply","Apply"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to","Apply to"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the original price","By Percentage of the original price"
"Quantity in cart","Cantidad en el Carro"
"Cart Attribute","Cart Attribute"
"Catalog","Catalog"
"Customer is new buyer: %s","Cliente es el nuevo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Product attribute combination","Combinación de Atributos de Producto"
"Conditions combination","Combinación de Condiciones
Special price,Precio Especial"
"Start at: %s","Comienza el: %s"
"Conditions","Conditions"
"Coupon code","Coupon code"
"Coupon Code","Coupon Code"
"Customer Groups","Customer Groups"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Delete Rule","Delete Rule"
"Description: %s","Descripción: %s"
"Description","Description"
"Discount amount","Discount amount"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Expire at: %s","Expira el: %s"
"Row total in cart","Filas totales en el carro"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free shipping","Free shipping"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"Maximum Qty Discount is Applied to","Maximum Qty Discount is Applied to"
"New Rule","New Rule"
"No","No"
"Name: %s","Nombre: %s"
"NOT LOGGED IN","NOT LOGGED IN"
"Payment Method","Payment Method"
"Percent of product price discount","Percent of product price discount"
"By Percentage","Por Porcentaje"
"By Fixed value","Por Valor Fijo"
"Price in cart","Precio en el Carro"
"Priority","Priority"
"Products subselection","Products subselection"
"Promotions","Promotions"
"Public In RSS Feed","Public In RSS Feed"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Save Rule","Save Rule"
"Shipping Country","Shipping Country"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special price","Special price"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the original price","To Percentage of the original price"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Unable to find a page to delete","Unable to find a page to delete"
"Update prices using the following information","Update prices using the following information"
"Uses per coupon","Uses per coupon"
"Uses per customer","Uses per customer"
"Yes","Yes"
