"Add Recipient","Añadir Destinatario"
"Enabled","Activado"
"Some emails was not sent","Algunos correos no se enviaron"
"Some problems with data.","Algunos problemas con datos."
"Email Address","Correo Electrónico"
"Email:","Correo Electrónico:"
"Email Address:","Correo Electrónico:"
"Recipient:","Destinatario:"
"Select email template","Elegir Plantilla de Correo"
"Link to a friend was sent.","Enlace a un amigo fue enviado."
"Email to a Friend","Envíar a un amigo"
"Send email","Envíar Correo"
"Send product to a friend","Envíar Producto a un amigo"
"Limit Sending By","Limitar Enviado por"
"Max Products Sent in 1 Hour","Max de Productos envíados en 1 hora"
"Max Recipients","MAx Destiantarios"
"Maximum %d email addresses allowed.","Máximo %d correos electrónicos permitidos."
"Message:","Mensaje:"
"You cannot email this product to a friend","No puede enviar este producto a un amigo"
"Name","Nombre"
"Name:","Nombre:"
"Allow for Guests","Permitir a invitados"
"Email templates","Plantillas de Correo"
"Sender:","Remitente:"
"Remove Email","Retirar Correo"
"You cannot send more than %d times in an hour","Usted no puede enviar más %d veces en una hora"
