" was not delivered nor scanned"," was not delivered nor scanned"
"2 Day Freight","2 Day Freight"
"2Day","2 Dias"
"2nd Day Air","2nd Day Air"
"2nd Day Air Letter","2nd Day Air Letter"
"Access ID","Access ID"
"Access license number","Access license number"
"Account ID","Account ID"
"Account number","Account number"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Allowed methods","Allowed methods"
"Bound Printed Matter","Bound Printed Matter"
"Business Service Center","Business Service Center"
"FedEx Box","Caja FedEx"
"Calculate Handling Fee","Calculate Handling Fee"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Cannot retrieve shipping rates"
"Letter","Carta"
"2nd Day Air AM Letter","Carta Via aérea el 2Día AM"
"Invalid UPS CGI code type: %s","Código CGI de UPS incorrecto: %s"
"Invalid DHL XML code for type %s: %s","Código XML de DHL incorrecto %s: %s"
"Invalid FedEx XML code for type %s: %s","Código XML de FedEx incorrecto %s: %s"
"Invalid USPS XML code for type %s: %s","Código XML de USPS XML incorrecto %s: %s"
"Commercial","Comercial"
"Configuration","Configuration"
"Container","Container"
"Express Mail","Correo express"
"Priority Mail","Correo prioritario"
"First Overnight","De la noche a la mañana"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Delivered"
"Destination type","Destination type"
"DHL","DHL"
"Displayed Error Message","Displayed Error Message"
"Domestic Shipment Days","Domestic Shipment Days"
"Dropoff","Dropoff"
"3 Day Select","Elegir 3 dias"
"Empty response","Empty response"
"Enabled","Enabled"
"Drop Box","Entrega de caja"
"1 Day Freight","Entrega en 1 dia"
"3 Day Freight","Entrega en 3 dias"
"Home Delivery","Entrega en casa"
"Regular Pickup","Entrega normal"
"Customer Packaging","Envio de cliente"
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Error #%s: %s","Error #%s: %s"
"Station","Estación"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30 AM"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Tube","FedEx Tube"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","Free method"
"Free shipping with minimum order amount","Free shipping with minimum order amount"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
