          ;       14667;   ;Filtro    ;Inicio                                  ;03112015      ;164422;190.161.165.97 ;OK ;                    ;Inicio de filtrado                                                      
          ;       14667;   ;Filtro    ;tbk_param.txt                           ;03112015      ;164422;190.161.165.97 ;OK ;                    ;Archivo parseado                                                        
          ;       14667;   ;Filtro    ;Terminado                               ;03112015      ;164422;190.161.165.97 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       14667;   ;sanitiza  ;inicio                                  ;03112015      ;164422;190.161.165.97 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       14667;   ;sanitiza  ;Array                                   ;03112015      ;164422;190.161.165.97 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       14667;   ;sanitiza  ;Fin                                     ;03112015      ;164422;190.161.165.97 ;Ok ;                    ;Sanitizacion exitosa                                                    
6579862191;       14667;   ;pago      ;inicio                                  ;03112015      ;164422;190.161.165.97 ;OK ;597026007976        ;Parseo realizado                                                        
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164422;190.161.165.97 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164422;190.161.165.97 ;OK ;597026007976        ;Mac generado                                                            
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164422;190.161.165.97 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164422;190.161.165.97 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164422;190.161.165.97 ;OK ;597026007976        ;Datos listos para ser enviados                                          
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164422;190.161.165.97 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164423;190.161.165.97 ;OK ;597026007976        ;Datos validados                                                         
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164423;190.161.165.97 ;OK ;597026007976        ;Token=e346b58bf36c2013008dc823619dc8c6aed469ea03f4b226cf8269aa3226b56d  
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164423;190.161.165.97 ;OK ;597026007976        ;Redireccion web                                                         
6579862191;       14667;   ;pago      ;https://certificacion.webpay.cl         ;03112015      ;164423;190.161.165.97 ;OK ;597026007976        ;Todo OK                                                                 
          ;       14696;   ;Filtro    ;Inicio                                  ;03112015      ;165111;190.161.165.97 ;OK ;                    ;Inicio de filtrado                                                      
          ;       14696;   ;Filtro    ;tbk_param.txt                           ;03112015      ;165111;190.161.165.97 ;OK ;                    ;Archivo parseado                                                        
          ;       14696;   ;Filtro    ;Terminado                               ;03112015      ;165111;190.161.165.97 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       14696;   ;sanitiza  ;inicio                                  ;03112015      ;165111;190.161.165.97 ;OK ;                    ;Entrando a sanitizacion                                                 
