          ;        5482;   ;Filtro    ;Inicio                                  ;11112015      ;121330;190.161.165.97 ;OK ;                    ;Inicio de filtrado                                                      
          ;        5482;   ;Filtro    ;tbk_param.txt                           ;11112015      ;121330;190.161.165.97 ;OK ;                    ;Archivo parseado                                                        
          ;        5482;   ;Filtro    ;Terminado                               ;11112015      ;121330;190.161.165.97 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        5482;   ;sanitiza  ;inicio                                  ;11112015      ;121330;190.161.165.97 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        5482;   ;sanitiza  ;Array                                   ;11112015      ;121330;190.161.165.97 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        5482;   ;sanitiza  ;Fin                                     ;11112015      ;121330;190.161.165.97 ;Ok ;                    ;Sanitizacion exitosa                                                    
7254810077;        5482;   ;pago      ;inicio                                  ;11112015      ;121330;190.161.165.97 ;OK ;597026007976        ;Parseo realizado                                                        
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121330;190.161.165.97 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121330;190.161.165.97 ;OK ;597026007976        ;Mac generado                                                            
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121330;190.161.165.97 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121330;190.161.165.97 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121330;190.161.165.97 ;OK ;597026007976        ;Datos listos para ser enviados                                          
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121330;190.161.165.97 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121331;190.161.165.97 ;OK ;597026007976        ;Datos validados                                                         
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121331;190.161.165.97 ;OK ;597026007976        ;Token=ef2c2d1210a3698032ed7834bb963c57a3b649bf99eed4e5666c079a8bb1d6cd  
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121331;190.161.165.97 ;OK ;597026007976        ;Redireccion web                                                         
7254810077;        5482;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;121331;190.161.165.97 ;OK ;597026007976        ;Todo OK                                                                 
