          ;        9674;   ;Filtro    ;Inicio                                  ;28102013      ;003644;190.20.234.94  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9674;   ;Filtro    ;tbk_param.txt                           ;28102013      ;003644;190.20.234.94  ;OK ;                    ;Archivo parseado                                                        
          ;        9674;   ;Filtro    ;Terminado                               ;28102013      ;003644;190.20.234.94  ;OK ;                    ;Datos Filtrados con exito                                               
          ;        9674;   ;sanitiza  ;inicio                                  ;28102013      ;003644;190.20.234.94  ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        9674;   ;sanitiza  ;Array                                   ;28102013      ;003644;190.20.234.94  ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        9674;   ;sanitiza  ;Fin                                     ;28102013      ;003644;190.20.234.94  ;Ok ;                    ;Sanitizacion exitosa                                                    
2931404777;        9674;   ;pago      ;inicio                                  ;28102013      ;003644;190.20.234.94  ;OK ;597026007976        ;Parseo realizado                                                        
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003644;190.20.234.94  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003644;190.20.234.94  ;OK ;597026007976        ;Mac generado                                                            
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003644;190.20.234.94  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003644;190.20.234.94  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003644;190.20.234.94  ;OK ;597026007976        ;Datos listos para ser enviados                                          
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003644;190.20.234.94  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003648;190.20.234.94  ;OK ;597026007976        ;Datos validados                                                         
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003648;190.20.234.94  ;OK ;597026007976        ;Token=e91ce034460639c65c683652264669e2cb26c8bdb9855382d57112b27b9c93c7  
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003648;190.20.234.94  ;OK ;597026007976        ;Redireccion web                                                         
2931404777;        9674;   ;pago      ;https://certificacion.webpay.cl         ;28102013      ;003648;190.20.234.94  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9692;   ;resultado ;Desencriptando                          ;28102013      ;003703;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
