          ;       29795;   ;Filtro    ;Inicio                                  ;29122013      ;015302;190.20.223.93  ;OK ;                    ;Inicio de filtrado                                                      
          ;       29795;   ;Filtro    ;tbk_param.txt                           ;29122013      ;015302;190.20.223.93  ;OK ;                    ;Archivo parseado                                                        
          ;       29795;   ;Filtro    ;Terminado                               ;29122013      ;015302;190.20.223.93  ;OK ;                    ;Datos Filtrados con exito                                               
          ;       29795;   ;sanitiza  ;inicio                                  ;29122013      ;015302;190.20.223.93  ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       29795;   ;sanitiza  ;Array                                   ;29122013      ;015302;190.20.223.93  ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       29795;   ;sanitiza  ;Fin                                     ;29122013      ;015302;190.20.223.93  ;Ok ;                    ;Sanitizacion exitosa                                                    
8292782375;       29795;   ;pago      ;inicio                                  ;29122013      ;015302;190.20.223.93  ;OK ;597026007976        ;Parseo realizado                                                        
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015302;190.20.223.93  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015302;190.20.223.93  ;OK ;597026007976        ;Mac generado                                                            
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015302;190.20.223.93  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015302;190.20.223.93  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015302;190.20.223.93  ;OK ;597026007976        ;Datos listos para ser enviados                                          
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015302;190.20.223.93  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015305;190.20.223.93  ;OK ;597026007976        ;Datos validados                                                         
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015305;190.20.223.93  ;OK ;597026007976        ;Token=e5920bdfd83bed26289fb70ff8543ffcf6f977ad68967acdd7ced93b8811b9e7  
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015305;190.20.223.93  ;OK ;597026007976        ;Redireccion web                                                         
8292782375;       29795;   ;pago      ;https://certificacion.webpay.cl         ;29122013      ;015305;190.20.223.93  ;OK ;597026007976        ;Todo OK                                                                 
          ;       29812;   ;resultado ;Desencriptando                          ;29122013      ;015325;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       29812;   ;resultado ;Validacion                              ;29122013      ;015325;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       29812;   ;resultado ;100000017                               ;29122013      ;015325;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       29812;   ;resultado ;100000017                               ;29122013      ;015325;200.10.12.55   ;OK ;                    ;http://webpaynew.magento.cl/wakeup/cierre.php                           
8292782375;       29812;   ;transacc  ;8292782375                              ;29122013      ;015325;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
8292782375;       29812;   ;resultado ;logro abrir_conexion                    ;29122013      ;015325;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
8292782375;       29812;   ;transacc  ;8292782375                              ;29122013      ;015325;200.10.12.55   ;OK ;597026007976        ;POST a url http://webpaynew.magento.cl/wakeup/cierre.php                
8292782375;       29812;   ;transacc  ;8292782375                              ;29122013      ;015325;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       29815;   ;check_mac ;                                        ;29122013      ;015326;72.10.32.53    ;OK ;                    ;Todo OK                                                                 
8292782375;       29812;   ;transacc  ;8292782375                              ;29122013      ;015326;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
8292782375;       29812;   ;resultado ;100000017                               ;29122013      ;015326;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
8292782375;       29812;   ;resultado ;100000017                               ;29122013      ;015326;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
8292782375;       29812;   ;resultado ;100000017                               ;29122013      ;015326;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
