          ;        7963;   ;Filtro    ;Inicio                                  ;14012014      ;230133;190.164.239.16 ;OK ;                    ;Inicio de filtrado                                                      
          ;        7963;   ;Filtro    ;tbk_param.txt                           ;14012014      ;230133;190.164.239.16 ;OK ;                    ;Archivo parseado                                                        
          ;        7963;   ;Filtro    ;Terminado                               ;14012014      ;230133;190.164.239.16 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        7963;   ;sanitiza  ;inicio                                  ;14012014      ;230133;190.164.239.16 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        7963;   ;sanitiza  ;Array                                   ;14012014      ;230133;190.164.239.16 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        7963;   ;sanitiza  ;Fin                                     ;14012014      ;230133;190.164.239.16 ;Ok ;                    ;Sanitizacion exitosa                                                    
9751293927;        7963;   ;pago      ;inicio                                  ;14012014      ;230133;190.164.239.16 ;OK ;597026007976        ;Parseo realizado                                                        
9751293927;        7963;   ;pago      ;https://certificacion.webpay.cl         ;14012014      ;230133;190.164.239.16 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9751293927;        7963;   ;pago      ;https://certificacion.webpay.cl         ;14012014      ;230133;190.164.239.16 ;OK ;597026007976        ;Mac generado                                                            
9751293927;        7963;   ;pago      ;https://certificacion.webpay.cl         ;14012014      ;230133;190.164.239.16 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9751293927;        7963;   ;pago      ;https://certificacion.webpay.cl         ;14012014      ;230133;190.164.239.16 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9751293927;        7963;   ;pago      ;https://certificacion.webpay.cl         ;14012014      ;230133;190.164.239.16 ;OK ;597026007976        ;Datos listos para ser enviados                                          
9751293927;        7963;   ;pago      ;https://certificacion.webpay.cl         ;14012014      ;230133;190.164.239.16 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
9751293927;        7963;   ;pago      ;https://certificacion.webpay.cl         ;14012014      ;230136;190.164.239.16 ;OK ;597026007976        ;Datos validados                                                         
