          ;       13818;   ;Filtro    ;Inicio                                  ;25012014      ;233421;190.20.208.130 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13818;   ;Filtro    ;tbk_param.txt                           ;25012014      ;233421;190.20.208.130 ;OK ;                    ;Archivo parseado                                                        
          ;       13818;   ;Filtro    ;Terminado                               ;25012014      ;233421;190.20.208.130 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       13818;   ;sanitiza  ;inicio                                  ;25012014      ;233421;190.20.208.130 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       13818;   ;sanitiza  ;Array                                   ;25012014      ;233421;190.20.208.130 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       13818;   ;sanitiza  ;Fin                                     ;25012014      ;233421;190.20.208.130 ;Ok ;                    ;Sanitizacion exitosa                                                    
0703661737;       13818;   ;pago      ;inicio                                  ;25012014      ;233421;190.20.208.130 ;OK ;597026007976        ;Parseo realizado                                                        
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233421;190.20.208.130 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233421;190.20.208.130 ;OK ;597026007976        ;Mac generado                                                            
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233421;190.20.208.130 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233421;190.20.208.130 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233421;190.20.208.130 ;OK ;597026007976        ;Datos listos para ser enviados                                          
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233421;190.20.208.130 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233424;190.20.208.130 ;OK ;597026007976        ;Datos validados                                                         
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233424;190.20.208.130 ;OK ;597026007976        ;Token=e416bc3bc6c2e6c02b7465e04559cd618ee07691a645f0113a7d3a75e25787b7  
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233424;190.20.208.130 ;OK ;597026007976        ;Redireccion web                                                         
0703661737;       13818;   ;pago      ;https://certificacion.webpay.cl         ;25012014      ;233424;190.20.208.130 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13823;   ;resultado ;Desencriptando                          ;25012014      ;233441;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       13823;   ;resultado ;Validacion                              ;25012014      ;233441;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       13823;   ;resultado ;100000054                               ;25012014      ;233441;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       13823;   ;resultado ;100000054                               ;25012014      ;233441;200.10.12.55   ;OK ;                    ;http://webpaynew.magento.cl/wakeup/cierre.php                           
703661737 ;       13823;   ;transacc  ;703661737                               ;25012014      ;233441;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
703661737 ;       13823;   ;resultado ;logro abrir_conexion                    ;25012014      ;233441;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
703661737 ;       13823;   ;transacc  ;703661737                               ;25012014      ;233441;200.10.12.55   ;OK ;597026007976        ;POST a url http://webpaynew.magento.cl/wakeup/cierre.php                
703661737 ;       13823;   ;transacc  ;703661737                               ;25012014      ;233441;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       13826;   ;check_mac ;                                        ;25012014      ;233441;72.10.32.53    ;OK ;                    ;Todo OK                                                                 
703661737 ;       13823;   ;transacc  ;703661737                               ;25012014      ;233441;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
703661737 ;       13823;   ;resultado ;100000054                               ;25012014      ;233441;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
703661737 ;       13823;   ;resultado ;100000054                               ;25012014      ;233441;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
703661737 ;       13823;   ;resultado ;100000054                               ;25012014      ;233441;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
