ACK; TBK_ORDEN_COMPRA=100000038; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=589895; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=022942; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9751293927; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=aaba0d66c5da66220743de00b504274589c4484ebf109f0e0167b01dce273fddb547bdfb033891d5e4a2fee647bb14cff76ccbdd00ef656e7b169420da40bff1209bd356c7d660f7b6519380b9e2a2ca4cb5084db0b8bce72838338df3be928544a2aa1f6839de51e9664b7b9be99f7d3987a26dfb0f2c39e6c8e56a3fa939ad
ACK; TBK_ORDEN_COMPRA=100000039; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=114414; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=023133; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9751404498; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=77e39ed03faed14cd8aeebb7d2f3ea46b6e8a97a2facee0eccc4cc17257751d33d4ab0a8f0639f93f1e6a9ea0611c6c536e2eadc3db54ec214da8b61057b7458918d719253d72bf8e0990575afd9b58ff16d17e12cb42676d23359bbc1f79c2b567d26b8c773e11cd78e17e5d0d4d9e868516c89abb9471efca10af5744c2f3e
ACK; TBK_ORDEN_COMPRA=100000040; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=365263; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=023957; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9751908216; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1ae5b802d99548294b17b85736fde46b7a475b576536025b1192b4ad2486ebabf8fc6a1807ba2f3123d159b579b5433f054d4f514bcabc482df08e793f3d5b0f9961cb2e1595d68f84b7500108a09d2610abd38da513bbfecd2ea0db054e7a0b19c8142a943d1b27a456b97c8a8683d116a46aa982aa0559e2e23a2cc338034c
ACK; TBK_ORDEN_COMPRA=100000041; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=142676; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=024222; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9752053208; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=48e282df74f2b89b4d5a57c1e7c67ff68079022cbe4da24f640d7461061141fbfd62007183bac3c04a3dd6b3272fc92850050774301889a46fb2129812a1f3ad3670ddf2bd0c6b386b71013d84a31197b9bc47417df3c50af290aa6419e9ac861713789466b9b4093f94d3401424de4f061c66b782c07d92641344aa07dffa9c
ACK; TBK_ORDEN_COMPRA=100000043; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=841738; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=025156; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9752629404; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=674ae96beb6a78e6c1445766449460fb1b0d8ebad5af3bac33459425ad80a3ef655c2c87f0a55d6ac4ebea4cd4d293c42ccc38f3fd05d1d554920b5819b811121d795ef0ec4e61f472b4afb688e7a06bbf7c357e72f4c6168d49bfa22faea8da11413081b649ecf76036a1b536174091e11027fe09b8ac644afcf527b611155f
ACK; TBK_ORDEN_COMPRA=100000044; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=287213; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=025350; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9752743875; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1a55702ee293b5ff461e479d98aacdd601c0bc773bd79075edc99093ae8eba08ab94fc86de13e0958310b3e2ebcc511e22a74f3d78746a474f3fe8b8ed5ca02ed5e217211ed3fd9e49da1a2910aebc4ca3324b20cdb12db20c71cec4a5444946b7639f4a817b4ebfd2e9a9865b7130b2ec8611a9f53d8dce092aed724295125a
ACK; TBK_ORDEN_COMPRA=100000045; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=700318; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=025522; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9752835055; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=5e0891a2386cdccdaa54778340c3361a424228e39b75722d8cdc4479285f31563ca3feb2b9fe3e5ab652613b422960a6466009a04c1e7c3fd2d68a979b282f42e8b03d1345051084358e212fa7ec28db68b8c92e8d587707a6e3df3afb8f7421903052d4dacdd96ebe2ea8d77d10392e6141e495c1898d5c296ebb86c95444e6
ACK; TBK_ORDEN_COMPRA=100000046; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=311479; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=025922; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9753075290; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=a44e52b72d218745d3e608e09dcaf21d31cdb25e255c285662cc626504700cc2c53e32609b8d9cfe75fd37b44779ba26361bbd685fb53da19cd14d74a09092c8f8a3ece10a20f424e14412d86898d812b672c2ddf8099ae2cedaaf74163e897f872c409059c5ee8deffe31dd28eaf65424f3649da10db4d5fd545176fc538ac4
ACK; TBK_ORDEN_COMPRA=100000047; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=151005; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=030125; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9753199141; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=027478adb17c97991e8c625f9d5e3d19987062b7a9700c690d7cfbead34885f3d4c2ebee2ee8b1906e69510a15d594ce3ff7070f0e3f28a47f5e0e5a9984a9fbb3074e6190aac52e5cf126aee7d8650c5692953ce398a9c1473dd78a74b1886552f5d020ca855a83ca54190dd3a15f46602efcff65d39e33cb939c3d68f9e0d5
ACK; TBK_ORDEN_COMPRA=100000048; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=755329; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=030307; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9753300601; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3fcf3ec253f9fe80e1fe206c773990a94e5d7b2a15da6297b169b08ae71050fa5e41bdf26bfa85614d2b3ac9cc51c0dee26f1ea506490fd1e7985c424a66327fffbebbf6d97b10538d8ab049e87a8c2e7b494dad59d96f547e80f034f2fced34d216f096f029076eb172f56746fba41a1e4090bf6b23e48fce3bb9e962ce4de1
ACK; TBK_ORDEN_COMPRA=100000050; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1399000; TBK_CODIGO_AUTORIZACION=974488; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0115; TBK_FECHA_TRANSACCION=0115; TBK_HORA_TRANSACCION=030826; TBK_ID_SESION=1; TBK_ID_TRANSACCION=9753619370; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=47aba1a6133c5374d7bd8b713e5028590d63ec6d6e35543883bb07127d4ca41adbf1371ba1a1f6e8de85b82282c725f1190d1292cb0409eb6ed112c82bf1207fa03a571e25aa7495f73708ab8d8ef6d674b5008228a3cd8374b6d8d0269b3f6c3f822b88a2c9f1126ef93f48d2589c381783718c05b8f3fcba507f05ee65746f
