          ;        7264;   ;Filtro    ;Inicio                                  ;11112015      ;193718;190.45.41.223  ;OK ;                    ;Inicio de filtrado                                                      
          ;        7264;   ;Filtro    ;tbk_param.txt                           ;11112015      ;193718;190.45.41.223  ;OK ;                    ;Archivo parseado                                                        
          ;        7264;   ;Filtro    ;Terminado                               ;11112015      ;193718;190.45.41.223  ;OK ;                    ;Datos Filtrados con exito                                               
728143801 ;        7264;   ;pago      ;inicio                                  ;11112015      ;193718;190.45.41.223  ;OK ;597026007976        ;Parseo realizado                                                        
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193718;190.45.41.223  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193718;190.45.41.223  ;OK ;597026007976        ;Mac generado                                                            
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193718;190.45.41.223  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193718;190.45.41.223  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193718;190.45.41.223  ;OK ;597026007976        ;Datos listos para ser enviados                                          
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193718;190.45.41.223  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193719;190.45.41.223  ;OK ;597026007976        ;Datos validados                                                         
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193719;190.45.41.223  ;OK ;597026007976        ;Token=ecfa6598b2e22c77cf09049ef096ac9d3ec8e45cc8fc421fe5144bdfcff9320b  
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193719;190.45.41.223  ;OK ;597026007976        ;Redireccion web                                                         
728143801 ;        7264;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;193719;190.45.41.223  ;OK ;597026007976        ;Todo OK                                                                 
          ;        7267;   ;resultado ;Desencriptando                          ;11112015      ;193753;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        7267;   ;resultado ;Validacion                              ;11112015      ;193753;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        7267;   ;resultado ;100000059                               ;11112015      ;193753;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        7267;   ;resultado ;100000059                               ;11112015      ;193753;200.10.12.55   ;OK ;                    ;http://magento-dev.kongo.cl/wakeup/cierre.php                           
728143801 ;        7267;   ;transacc  ;728143801                               ;11112015      ;193753;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
728143801 ;        7267;   ;resultado ;logro abrir_conexion                    ;11112015      ;193753;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
728143801 ;        7267;   ;transacc  ;728143801                               ;11112015      ;193753;200.10.12.55   ;OK ;597026007976        ;POST a url http://magento-dev.kongo.cl/wakeup/cierre.php                
728143801 ;        7267;   ;transacc  ;728143801                               ;11112015      ;193753;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        7269;   ;check_mac ;                                        ;11112015      ;193753;EMPTY          ;OK ;                    ;Todo OK                                                                 
728143801 ;        7267;   ;transacc  ;728143801                               ;11112015      ;193753;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
728143801 ;        7267;   ;resultado ;100000059                               ;11112015      ;193753;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
728143801 ;        7267;   ;resultado ;100000059                               ;11112015      ;193753;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
728143801 ;        7267;   ;resultado ;100000059                               ;11112015      ;193753;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;        7292;   ;Filtro    ;Inicio                                  ;11112015      ;194302;190.45.41.223  ;OK ;                    ;Inicio de filtrado                                                      
          ;        7292;   ;Filtro    ;tbk_param.txt                           ;11112015      ;194302;190.45.41.223  ;OK ;                    ;Archivo parseado                                                        
          ;        7292;   ;Filtro    ;Terminado                               ;11112015      ;194302;190.45.41.223  ;OK ;                    ;Datos Filtrados con exito                                               
728178245 ;        7292;   ;pago      ;inicio                                  ;11112015      ;194302;190.45.41.223  ;OK ;597026007976        ;Parseo realizado                                                        
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194302;190.45.41.223  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194302;190.45.41.223  ;OK ;597026007976        ;Mac generado                                                            
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194302;190.45.41.223  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194302;190.45.41.223  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194302;190.45.41.223  ;OK ;597026007976        ;Datos listos para ser enviados                                          
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194302;190.45.41.223  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194304;190.45.41.223  ;OK ;597026007976        ;Datos validados                                                         
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194304;190.45.41.223  ;OK ;597026007976        ;Token=eb495870638668e3316aca671546274d21c42e13614aa01462a8bb95385929f5  
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194304;190.45.41.223  ;OK ;597026007976        ;Redireccion web                                                         
728178245 ;        7292;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;194304;190.45.41.223  ;OK ;597026007976        ;Todo OK                                                                 
          ;        7293;   ;Filtro    ;Inicio                                  ;11112015      ;194357;190.45.41.223  ;OK ;                    ;Inicio de filtrado                                                      
          ;        7293;   ;Filtro    ;tbk_param.txt                           ;11112015      ;194357;190.45.41.223  ;OK ;                    ;Archivo parseado                                                        
          ;        7293;   ;Filtro    ;Terminado                               ;11112015      ;194357;190.45.41.223  ;OK ;                    ;Datos Filtrados con exito                                               
728183774 ;        7293;   ;pago      ;inicio                                  ;11112015      ;194357;190.45.41.223  ;OK ;597026007976        ;Parseo realizado                                                        
