          ;        6016;   ;Filtro    ;Inicio                                  ;11112015      ;130149;190.161.165.97 ;OK ;                    ;Inicio de filtrado                                                      
          ;        6016;   ;Filtro    ;tbk_param.txt                           ;11112015      ;130149;190.161.165.97 ;OK ;                    ;Archivo parseado                                                        
          ;        6016;   ;Filtro    ;Terminado                               ;11112015      ;130149;190.161.165.97 ;OK ;                    ;Datos Filtrados con exito                                               
725770994 ;        6016;   ;pago      ;inicio                                  ;11112015      ;130149;190.161.165.97 ;OK ;597026007976        ;Parseo realizado                                                        
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130149;190.161.165.97 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130149;190.161.165.97 ;OK ;597026007976        ;Mac generado                                                            
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130149;190.161.165.97 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130149;190.161.165.97 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130149;190.161.165.97 ;OK ;597026007976        ;Datos listos para ser enviados                                          
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130149;190.161.165.97 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130151;190.161.165.97 ;ERR;597026007976        ;No se pudo decifrar el contenido, posible error de llaves               
725770994 ;        6016;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130151;190.161.165.97 ;ERR;597026007976        ;283                                                                     
          ;        6040;   ;pago      ;                                        ;11112015      ;130312;190.161.165.97 ;ERR;                    ;1                                                                       
          ;        6041;   ;Filtro    ;Inicio                                  ;11112015      ;130350;190.161.165.97 ;OK ;                    ;Inicio de filtrado                                                      
          ;        6041;   ;Filtro    ;tbk_param.txt                           ;11112015      ;130350;190.161.165.97 ;OK ;                    ;Archivo parseado                                                        
          ;        6041;   ;Filtro    ;Terminado                               ;11112015      ;130350;190.161.165.97 ;OK ;                    ;Datos Filtrados con exito                                               
725783095 ;        6041;   ;pago      ;inicio                                  ;11112015      ;130350;190.161.165.97 ;OK ;597026007976        ;Parseo realizado                                                        
725783095 ;        6041;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130350;190.161.165.97 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
725783095 ;        6041;   ;pago      ;https://certificacion.webpay.cl         ;11112015      ;130350;190.161.165.97 ;OK ;597026007976        ;Mac generado                                                            
