sku,image,image_label
912,/uploads/2013/12/Blooming-Tea.jpg,Blooming-Tea.jpg
921,/uploads/2012/02/c232_matcha-patissier.jpg,c232_matcha-patissier.jpg
927,/uploads/2012/02/RASPBERRY-DREAMMMMM.jpg,RASPBERRY-DREAMMMMM.jpg
929,/uploads/2012/02/chai-tea.jpg,chai-tea.jpg
931,/uploads/2012/02/264682_116553558438862_100002526563545_131397_2873861_n.jpg,264682_116553558438862_100002526563545_131397_2873861_n.jpg
940,/uploads/2012/02/jasmine_pearl_oolong.jpg,jasmine_pearl_oolong.jpg
946,/uploads/2012/08/229641_124921580935393_4004189_n.jpg,229641_124921580935393_4004189_n.jpg
1068,/uploads/2012/02/314305_232332510153961_194617273925485_585349_329569958_n.jpg,314305_232332510153961_194617273925485_585349_329569958_n.jpg
1113,/uploads/2012/07/te-rojo-rosas.jpg,te-rojo-rosas.jpg
1238,/uploads/2012/12/Te??-Verde-Botones-Jazmí­n-1024x869.jpg,Te??-Verde-Botones-Jazmí­n-1024x869.jpg
1265,/uploads/2012/12/Spicy-Muse-3.jpg,Spicy-Muse-3.jpg
1414,/uploads/2013/12/Blooming-Tea.jpg,Blooming-Tea.jpg
1416,/uploads/2013/12/Blooming-Tea.jpg,Blooming-Tea.jpg
1486,/uploads/2012/12/Te??-Verde-Botones-Jazmí­n-1024x869.jpg,Te??-Verde-Botones-Jazmí­n-1024x869.jpg
1488,/uploads/2012/12/Jasmin2.jpg,Jasmin2.jpg
1540,/uploads/2012/12/Spicy-Muse-3.jpg,Spicy-Muse-3.jpg
1549,/uploads/2012/12/Spicy1.jpg,Spicy1.jpg
1575,/uploads/2013/12/Bolsa_50_Te_Verde_con_Durazno.jpg,Bolsa_50_Te_Verde_con_Durazno.jpg
1586,/uploads/2013/12/Bolsa_50_Te_Verde_con_Durazno.jpg,Bolsa_50_Te_Verde_con_Durazno.jpg
1590,/uploads/2013/12/Frasco_50_Te_Verde_con_Durazno.jpg,Frasco_50_Te_Verde_con_Durazno.jpg
1609,/uploads/2013/12/Te??-Verde-Menta-1.jpg,Te??-Verde-Menta-1.jpg
1618,/uploads/2013/12/Te??-Verde-Menta-1.jpg,Te??-Verde-Menta-1.jpg
1623,/uploads/2013/12/Frasco_50_Te_Verde_Con_Menta.jpg,Frasco_50_Te_Verde_Con_Menta.jpg
1642,/uploads/2013/12/Bolsa_50_Te_Verde_con_Guayaba.jpg,Bolsa_50_Te_Verde_con_Guayaba.jpg
1657,/uploads/2013/12/Bolsa_50_Te_Verde_con_Guayaba.jpg,Bolsa_50_Te_Verde_con_Guayaba.jpg
1661,/uploads/2013/12/Frasco_50_Te_Verde_con_Guayaba.jpg,Frasco_50_Te_Verde_con_Guayaba.jpg
1674,/uploads/2013/12/Te??-Verde-Jazmí­n.jpg,Te??-Verde-Jazmí­n.jpg
1686,/uploads/2013/12/Te??-Verde-Jazmí­n.jpg,Te??-Verde-Jazmí­n.jpg
1689,/uploads/2013/12/Frasco-50-Te-Verde-con-Jazmin1.jpg,Frasco-50-Te-Verde-con-Jazmin1.jpg
1706,/uploads/2013/12/Te??-Verde-Manzana1.jpg,Te??-Verde-Manzana1.jpg
1712,/uploads/2013/12/Te??-Verde-Manzana1.jpg,Te??-Verde-Manzana1.jpg
1716,/uploads/2013/12/Frasco_50_Te_Verde_con_Manzana.jpg,Frasco_50_Te_Verde_con_Manzana.jpg
1738,/uploads/2012/07/te-rojo-rosas.jpg,te-rojo-rosas.jpg
1743,/uploads/2012/07/te-rojo-rosas.jpg,te-rojo-rosas.jpg
1759,/uploads/2013/12/Bolsa_50_Te_Rojo_Ginseng.jpg,Bolsa_50_Te_Rojo_Ginseng.jpg
1767,/uploads/2013/12/Bolsa_50_Te_Rojo_Ginseng.jpg,Bolsa_50_Te_Rojo_Ginseng.jpg
1770,/uploads/2013/12/Frasco_50_Te_Rojo_Ginseng.jpg,Frasco_50_Te_Rojo_Ginseng.jpg
1788,/uploads/2013/12/Pack_1.jpg,Pack_1.jpg
1798,/uploads/2013/12/Pack_2.jpg,Pack_2.jpg
1803,/uploads/2013/12/Pack_3.jpg,Pack_3.jpg
1804,/uploads/2013/12/Pack_4.jpg,Pack_4.jpg
1817,/uploads/2013/12/Pack_5.jpg,Pack_5.jpg
1818,/uploads/2013/12/Pack_6.jpg,Pack_6.jpg
1836,/uploads/2013/12/Bolsa_50_Te_Pu-Ehr_con_Crisantemo.jpg,Bolsa_50_Te_Pu-Ehr_con_Crisantemo.jpg
1842,/uploads/2013/12/Bolsa_50_Te_Pu-Ehr_con_Crisantemo.jpg,Bolsa_50_Te_Pu-Ehr_con_Crisantemo.jpg
1844,/uploads/2013/12/Frasco_50_Te_Pu-Erh_con_Crisantemo.jpg,Frasco_50_Te_Pu-Erh_con_Crisantemo.jpg
1860,/uploads/2012/02/RASPBERRY-DREAMMMMM.jpg,RASPBERRY-DREAMMMMM.jpg
1870,/uploads/2012/02/RASPBERRY-DREAMMMMM.jpg,RASPBERRY-DREAMMMMM.jpg
1906,/uploads/2013/12/Tetera-con-filtro-1000-ml.jpg,Tetera-con-filtro-1000-ml.jpg
2454,/uploads/2014/03/634d4d_234de2f6445a4a58a05d977b772fbb3e.jpg_srz_400_345_75_22_0.50_1.20_0.00_jpg_sr,634d4d_234de2f6445a4a58a05d977b772fbb3e.jpg_srz_400_345_75_22_0.50_1.20_0.00_jpg_sr
2458,/uploads/2014/03/recut.php_.html.jpeg,recut.php_.html.jpeg
2464,/uploads/2014/03/CISNES.jpg,CISNES.jpg
2472,/uploads/2014/03/P1010867.jpg,P1010867.jpg
2481,/uploads/2014/03/P1010868.jpg,P1010868.jpg
2485,/uploads/2014/03/P1010838.jpg,P1010838.jpg
2508,/uploads/2014/03/517160_475797ba272cd4a761282bbf7a25764a.jpg,517160_475797ba272cd4a761282bbf7a25764a.jpg
2545,/uploads/2014/04/Te??-Azul-1-1024x868.jpg,Te??-Azul-1-1024x868.jpg
2546,/uploads/2014/04/Te??-Azul-1-1024x868.jpg,Te??-Azul-1-1024x868.jpg
2547,/uploads/2014/04/Te??-Azul-1.jpg,Te??-Azul-1.jpg
2601,/uploads/2015/01/Te??-Verde-1-1024x857.jpg,Te??-Verde-1-1024x857.jpg
2606,/uploads/2015/01/Te??-Verde-1-1024x857.jpg,Te??-Verde-1-1024x857.jpg
2607,/uploads/2015/01/Te??-Verde-1-1024x857.jpg,Te??-Verde-1-1024x857.jpg
2630,/uploads/2015/01/Te-Rojo.jpg,Te-Rojo.jpg
2632,/uploads/2015/01/Te??-Rojo.jpg,Te??-Rojo.jpg
2633,/uploads/2015/01/Te??-Rojo.jpg,Te??-Rojo.jpg
2688,/uploads/2015/01/Te??-Rojo-Cardamomo-1.jpg,Te??-Rojo-Cardamomo-1.jpg
2690,/uploads/2015/01/Te??-Rojo-Cardamomo-1.jpg,Te??-Rojo-Cardamomo-1.jpg
2691,/uploads/2015/01/Te??-Rojo-Cardamomo-1.jpg,Te??-Rojo-Cardamomo-1.jpg
2733,/uploads/2015/01/Te??-Azul-Arí¡ndano-1.jpg,Te??-Azul-Arí¡ndano-1.jpg
2734,/uploads/2015/01/Te??-Azul-Arí¡ndano-1.jpg,Te??-Azul-Arí¡ndano-1.jpg
