sku,image,image_label,small_image,small_image_label,thumbnail,thumbnail_label
100200,/imported_imgs/batidor-de-bambu-para-te-matcha-1.jpg,Batidor Te Matcha,batidor-de-bambu-para-te-matcha-1.jpg,Batidor Te Matcha,batidor-de-bambu-para-te-matcha-1.jpg,
1101,/imported_imgs/blooming-tea-te-de-flores-1.jpg,Blooming Tea Te De Flores 1,blooming-tea-te-de-flores-1.jpg,,blooming-tea-te-de-flores-1.jpg,
1101,/imported_imgs/blooming-tea-te-de-flores-2.jpg,Blooming Tea Te De Flores 2,,,,
1101,/imported_imgs/blooming-tea-te-de-flores-3.jpg,Blooming Tea Te De Flores 3,,,,
1203,/imported_imgs/infusor-de-te-cisne-1.jpg,Infusor De Te Cisne 1,infusor-de-te-cisne-1.jpg,,infusor-de-te-cisne-1.jpg,
1203,/imported_imgs/infusor-de-te-cisne-2.jpg,Infusor De Te Cisne 2,,,,
1201,/imported_imgs/infusor-de-te-clip-1.jpg,Infusor De Te Clip 1,infusor-de-te-clip-1.jpg,,infusor-de-te-clip-1.jpg,
1204,/imported_imgs/infusor-de-te-cuchara-1.jpg,Infusor De Te Cuchara 1,infusor-de-te-cuchara-1.jpg,,infusor-de-te-cuchara-1.jpg,
1205,/imported_imgs/infusor-de-te-frutilla-1.jpg,Infusor De Te Frutilla 1,infusor-de-te-frutilla-1.jpg,,infusor-de-te-frutilla-1.jpg,
1205,/imported_imgs/infusor-de-te-frutilla-2.jpg,Infusor De Te Frutilla 2,,,,
1205,/imported_imgs/infusor-de-te-frutilla-3.jpg,Infusor De Te Frutilla 3,,,,
1205,/imported_imgs/infusor-de-te-frutilla-4.jpg,Infusor De Te Frutilla 4,,,,
1205,/imported_imgs/infusor-de-te-frutilla-5.jpg,Infusor De Te Frutilla 5,,,,
1206,/imported_imgs/infusor-de-te-mr-tea-1.jpg,Infusor De Te Mr Tea 1,infusor-de-te-mr-tea-1.jpg,,infusor-de-te-mr-tea-1.jpg,
1206,/imported_imgs/infusor-de-te-mr-tea-2.jpg,Infusor De Te Mr Tea 2,,,,
1202,/imported_imgs/infusor-de-te-nota-musical-1.jpg,Infusor De Te Nota Musical 1,infusor-de-te-nota-musical-1.jpg,,infusor-de-te-nota-musical-1.jpg,
1202,/imported_imgs/infusor-de-te-nota-musical-2.jpg,Infusor De Te Nota Musical 2,,,,
1207,/imported_imgs/infusor-de-te-tiburon-1.jpg,Infusor De Te Tiburon 1,infusor-de-te-tiburon-1.jpg,,infusor-de-te-tiburon-1.jpg,
1207,/imported_imgs/infusor-de-te-tiburon-2.jpg,Infusor De Te Tiburon 2,,,,
130300,/imported_imgs/juego-tetera-vidrio-800-ml-4-vasos-1.jpg,Juego Tetera Vidrio 800 Ml 4 Vasos 1,juego-tetera-vidrio-800-ml-4-vasos-1.jpg,,juego-tetera-vidrio-800-ml-4-vasos-1.jpg,
130300,/imported_imgs/juego-tetera-vidrio-800-ml-4-vasos-2.jpg,Juego Tetera Vidrio 800 Ml 4 Vasos 2,,,,
130300,/imported_imgs/juego-tetera-vidrio-800-ml-4-vasos-3.jpg,Juego Tetera Vidrio 800 Ml 4 Vasos 3,,,,
100100,/imported_imgs/matcha-te-verde-en-polvo-1.jpg,Matcha Te Verde En Polvo 1,matcha-te-verde-en-polvo-1.jpg,,matcha-te-verde-en-polvo-1.jpg,
100100,/imported_imgs/matcha-te-verde-en-polvo-2.jpg,Matcha Te Verde En Polvo 2,,,,
100100,/imported_imgs/matcha-te-verde-en-polvo-3.jpg,Matcha Te Verde En Polvo 3,,,,
100100,/imported_imgs/matcha-te-verde-en-polvo-4.jpg,Matcha Te Verde En Polvo 4,,,,
130200,/imported_imgs/mini-tetera-300-ml-1.jpg,Mini Tetera 300 Ml 1,mini-tetera-300-ml-1.jpg,,mini-tetera-300-ml-1.jpg,
130200,/imported_imgs/mini-tetera-300-ml-2.jpg,Mini Tetera 300 Ml 2,,,,
130200,/imported_imgs/mini-tetera-300-ml-3.jpg,Mini Tetera 300 Ml 3,,,,
130200,/imported_imgs/mini-tetera-300-ml-4.jpg,Mini Tetera 300 Ml 4,,,,
2101,/imported_imgs/perlas-de-jazmin-1.jpg,Perlas De Jazmin 1,perlas-de-jazmin-1.jpg,,perlas-de-jazmin-1.jpg,
2101,/imported_imgs/perlas-de-jazmin-2.jpg,Perlas De Jazmin 2,,,,
2003,/imported_imgs/spicy-muse-te-verde-1.jpg,Spicy Muse Te Verde 1,spicy-muse-te-verde-1.jpg,,spicy-muse-te-verde-1.jpg,
2003,/imported_imgs/spicy-muse-te-verde-2.jpg,Spicy Muse Te Verde 2,,,,
2003,/imported_imgs/spicy-muse-te-verde-3.jpg,Spicy Muse Te Verde 3,,,,
2003,/imported_imgs/spicy-muse-te-verde-4.jpg,Spicy Muse Te Verde 4,,,,
1602,/imported_imgs/te-azul-con-arandano-1.jpg,Te Azul Con Arandano 1,te-azul-con-arandano-1.jpg,,te-azul-con-arandano-1.jpg,
1602,/imported_imgs/te-azul-con-arandano-2.jpg,Te Azul Con Arandano 2,,,,
1602,/imported_imgs/te-azul-con-arandano-3.jpg,Te Azul Con Arandano 3,,,,
1602,/imported_imgs/te-azul-con-arandano-4.jpg,Te Azul Con Arandano 4,,,,
1603,/imported_imgs/te-azul-con-pomelo-1.jpg,Te Azul Con Pomelo 1,te-azul-con-pomelo-1.jpg,,te-azul-con-pomelo-1.jpg,
1603,/imported_imgs/te-azul-con-pomelo-2.jpg,Te Azul Con Pomelo 2,,,,
1601,/imported_imgs/te-azul-oolong-1.jpg,Te Azul Oolong 1,te-azul-oolong-1.jpg,,te-azul-oolong-1.jpg,
1601,/imported_imgs/te-azul-oolong-2.jpg,Te Azul Oolong 2,,,,
1701,/imported_imgs/te-blanco-1.jpg,Te Blanco 1,te-blanco-1.jpg,,te-blanco-1.jpg,
1701,/imported_imgs/te-blanco-2.jpg,Te Blanco 2,,,,
1702,/imported_imgs/te-blanco-con-lavanda-y-rosas-1.jpg,Te Blanco Con Lavanda Y Rosas 1,te-blanco-con-lavanda-y-rosas-1.jpg,,te-blanco-con-lavanda-y-rosas-1.jpg,
1702,/imported_imgs/te-blanco-con-lavanda-y-rosas-2.jpg,Te Blanco Con Lavanda Y Rosas 2,,,,
1702,/imported_imgs/te-blanco-con-lavanda-y-rosas-3.jpg,Te Blanco Con Lavanda Y Rosas 3,,,,
1405,/imported_imgs/te-de-jazmin-1.jpg,Te De Jazmin 1,te-de-jazmin-1.jpg,,te-de-jazmin-1.jpg,
1801,/imported_imgs/te-negro-1.jpg,Te Negro 1,te-negro-1.jpg,,te-negro-1.jpg,
1503,/imported_imgs/te-pu-erh-con-crisantemo-1.jpg,Te Pu Erh Con Crisantemo 1,te-pu-erh-con-crisantemo-1.jpg,,te-pu-erh-con-crisantemo-1.jpg,
1505,/imported_imgs/te-rojo-con-cardamomo-1.jpg,Te Rojo Con Cardamomo 1,te-rojo-con-cardamomo-1.jpg,,te-rojo-con-cardamomo-1.jpg,
1505,/imported_imgs/te-rojo-con-cardamomo-2.jpg,Te Rojo Con Cardamomo 2,,,,
1502,/imported_imgs/te-rojo-con-ginseng-1.jpg,Te Rojo Con Ginseng 1,te-rojo-con-ginseng-1.jpg,,te-rojo-con-ginseng-1.jpg,
1504,/imported_imgs/te-rojo-con-rosas-1.jpg,Te Rojo Con Rosas 1,te-rojo-con-rosas-1.jpg,,te-rojo-con-rosas-1.jpg,
1504,/imported_imgs/te-rojo-con-rosas-2.jpg,Te Rojo Con Rosas 2,,,,
1504,/imported_imgs/te-rojo-con-rosas-3.jpg,Te Rojo Con Rosas 3,,,,
1504,/imported_imgs/te-rojo-con-rosas-4.jpg,Te Rojo Con Rosas 4,,,,
1501,/imported_imgs/te-rojo-pu-erh-1.jpg,Te Rojo Pu Erh 1,te-rojo-pu-erh-1.jpg,,te-rojo-pu-erh-1.jpg,
130100,/imported_imgs/tetera-vidrio-800-ml-1.jpg,Tetera Vidrio 800 Ml 1,tetera-vidrio-800-ml-1.jpg,,tetera-vidrio-800-ml-1.jpg,
130100,/imported_imgs/tetera-vidrio-800-ml-2.jpg,Tetera Vidrio 800 Ml 2,,,,
130100,/imported_imgs/tetera-vidrio-800-ml-3.jpg,Tetera Vidrio 800 Ml 3,,,,
130100,/imported_imgs/tetera-vidrio-800-ml-4.jpg,Tetera Vidrio 800 Ml 4,,,,
1401,/imported_imgs/te-verde-1.jpg,Te Verde 1,te-verde-1.jpg,,te-verde-1.jpg,
1401,/imported_imgs/te-verde-2.jpg,Te Verde 2,,,,
1403,/imported_imgs/te-verde-con-durazno-1.jpg,Te Verde Con Durazno 1,te-verde-con-durazno-1.jpg,,te-verde-con-durazno-1.jpg,
1408,/imported_imgs/te-verde-con-frutilla-1.jpg,Te Verde Con Frutilla 1,te-verde-con-frutilla-1.jpg,,te-verde-con-frutilla-1.jpg,
1404,/imported_imgs/te-verde-con-guayaba-1.jpg,Te Verde Con Guayaba 1,te-verde-con-guayaba-1.jpg,,te-verde-con-guayaba-1.jpg,
1402,/imported_imgs/te-verde-con-jazmin-1.jpg,Te Verde Con Jazmin 1,te-verde-con-jazmin-1.jpg,,te-verde-con-jazmin-1.jpg,
1402,/imported_imgs/te-verde-con-jazmin-2.jpg,Te Verde Con Jazmin 2,,,,
1402,/imported_imgs/te-verde-con-jazmin-3.jpg,Te Verde Con Jazmin 3,,,,
1406,/imported_imgs/te-verde-con-manzana-1.jpg,Te Verde Con Manzana 1,te-verde-con-manzana-1.jpg,,te-verde-con-manzana-1.jpg,
1407,/imported_imgs/te-verde-con-menta-1.jpg,Te Verde Con Menta 1,te-verde-con-menta-1.jpg,,te-verde-con-menta-1.jpg,
1407,/imported_imgs/te-verde-con-menta-2.jpg,Te Verde Con Menta 2,,,,
1901,/imported_imgs/yerba-mate-1.jpg,Yerba Mate 1,yerba-mate-1.jpg,,yerba-mate-1.jpg,
